trial,time_start,condition,time_end,correct_clicks,incorrect_clicks
0,1494431877426,1,1494431937432,7,12
1,1494431967434,0,1494432027442,33,2
2,1494432057447,1,1494432117451,9,15
3,1494432147454,0,1494432207462,30,2
4,1494432237468,0,1494432297476,39,0
5,1494432327480,1,1494432387482,11,15
6,1494432417485,0,1494432477491,42,0
7,1494432507494,1,1494432567496,11,19
8,1494432597500,1,1494432657503,10,17
9,1494432687506,1,1494432747509,8,20
10,1494432777512,0,1494432837523,31,2
11,1494432867526,0,1494432927535,39,0
12,1494432957538,0,1494433017547,40,0
13,1494433047550,0,1494433107554,44,1
14,1494433137557,1,1494433197560,10,16
15,1494433227563,1,1494433287567,8,19
16,1494433317570,0,1494433377575,43,0
17,1494433407579,1,1494433467582,12,15
18,1494433497586,1,1494433557589,11,13
19,1494433587592,0,1494433647598,42,2
