trial,time_start,condition,time_end,correct_clicks,incorrect_clicks
0,1494606406154,1,1494606466160,10,9
1,1494606496163,0,1494606556172,32,1
2,1494606586177,1,1494606646179,9,13
3,1494606676183,1,1494606736186,7,15
4,1494606766194,0,1494606826201,38,0
5,1494606856205,0,1494606916213,40,0
6,1494606946217,1,1494607006220,9,18
7,1494607036223,1,1494607096227,12,18
8,1494607126230,0,1494607186240,41,1
9,1494607216244,1,1494607276248,12,17
10,1494607306252,0,1494607366259,43,1
11,1494607396263,1,1494607456266,16,14
12,1494607486269,1,1494607546272,10,21
13,1494607576275,0,1494607636281,39,2
14,1494607666284,0,1494607726293,46,0
15,1494607756296,1,1494607816299,6,22
16,1494607846302,0,1494607906309,44,0
17,1494607936316,0,1494607996324,44,0
18,1494608026327,1,1494608086330,16,11
19,1494608116333,0,1494608176339,46,0
