timeReceived,version,timeIssued,type,id,label
1493399997986,1,1493399997981,TASK_START,1,-1
1493400022384,1,1493400022339,BASELINE_START,2,-1
1493400202384,1,1493400202341,BASELINE_END,2,-1
1493400202425,1,1493400202342,BREAK_START,3,-1
1493400232386,1,1493400232343,BREAK_END,3,-1
1493400232427,1,1493400232347,TRAINING_START,4,0
1493400294903,1,1493400294860,TRAINING_END,4,0
1493400294945,1,1493400294861,BREAK_START,5,0
1493400324906,1,1493400324862,BREAK_END,5,0
1493400324947,1,1493400324863,TRAINING_START,6,1
1493400387419,1,1493400387375,TRAINING_END,6,1
1493400387461,1,1493400387377,BREAK_START,7,1
1493400417421,1,1493400417378,BREAK_END,7,1
1493400417462,1,1493400417379,TRAINING_START,8,0
1493400479935,1,1493400479891,TRAINING_END,8,0
1493400479977,1,1493400479892,BREAK_START,9,0
1493400509941,1,1493400509894,BREAK_END,9,0
1493400509982,1,1493400509899,TRAINING_START,10,1
1493400572453,1,1493400572409,TRAINING_END,10,1
1493400572495,1,1493400572410,BREAK_START,11,1
1493400602455,1,1493400602411,BREAK_END,11,1
1493400602496,1,1493400602412,TRAINING_START,12,0
1493400664967,1,1493400664923,TRAINING_END,12,0
1493400665009,1,1493400664924,BREAK_START,13,0
1493400694971,1,1493400694926,BREAK_END,13,0
1493400695013,1,1493400694928,TRAINING_START,14,1
1493400757484,1,1493400757440,TRAINING_END,14,1
1493400757525,1,1493400757442,BREAK_START,15,1
1493400787487,1,1493400787443,BREAK_END,15,1
1493400787528,1,1493400787444,TRAINING_START,16,0
1493400850000,1,1493400849957,TRAINING_END,16,0
1493400850041,1,1493400849958,BREAK_START,17,0
1493400880003,1,1493400879959,BREAK_END,17,0
1493400880044,1,1493400879960,TRAINING_START,18,1
1493400942515,1,1493400942473,TRAINING_END,18,1
1493400942556,1,1493400942474,BREAK_START,19,1
1493400972519,1,1493400972475,BREAK_END,19,1
1493400972560,1,1493400972476,TRAINING_START,20,0
1493401035031,1,1493401034987,TRAINING_END,20,0
1493401035073,1,1493401034988,BREAK_START,21,0
1493401065033,1,1493401064990,BREAK_END,21,0
1493401065075,1,1493401064991,TRAINING_START,22,1
1493401127544,1,1493401127502,TRAINING_END,22,1
1493401127585,1,1493401127503,BREAK_START,23,1
1493401157548,1,1493401157504,BREAK_END,23,1
1493401157589,1,1493401157505,TRAINING_START,24,0
1493401220060,1,1493401220017,TRAINING_END,24,0
1493401220101,1,1493401220018,BREAK_START,25,0
1493401250063,1,1493401250019,BREAK_END,25,0
1493401250104,1,1493401250021,TRAINING_START,26,1
1493401312579,1,1493401312535,TRAINING_END,26,1
1493401312620,1,1493401312536,BREAK_START,27,1
1493401342581,1,1493401342537,BREAK_END,27,1
1493401342622,1,1493401342539,TRAINING_START,28,0
1493401405094,1,1493401405050,TRAINING_END,28,0
1493401405136,1,1493401405051,BREAK_START,29,0
1493401435096,1,1493401435052,BREAK_END,29,0
1493401435137,1,1493401435053,TRAINING_START,30,1
1493401497607,1,1493401497564,TRAINING_END,30,1
1493401497648,1,1493401497565,BREAK_START,31,1
1493401527610,1,1493401527566,BREAK_END,31,1
1493401527652,1,1493401527567,TRAINING_START,32,0
1493401590121,1,1493401590078,TRAINING_END,32,0
1493401590162,1,1493401590079,BREAK_START,33,0
1493401620124,1,1493401620080,BREAK_END,33,0
1493401620165,1,1493401620082,TRAINING_START,34,1
1493401682637,1,1493401682594,TRAINING_END,34,1
1493401682678,1,1493401682595,BREAK_START,35,1
1493401712642,1,1493401712596,BREAK_END,35,1
1493401712684,1,1493401712598,TRAINING_START,36,0
1493401775153,1,1493401775108,TRAINING_END,36,0
1493401775195,1,1493401775110,BREAK_START,37,0
1493401805156,1,1493401805111,BREAK_END,37,0
1493401805197,1,1493401805113,TRAINING_START,38,1
1493401867666,1,1493401867623,TRAINING_END,38,1
1493401867707,1,1493401867624,BREAK_START,39,1
1493401897668,1,1493401897625,BREAK_END,39,1
1493401897709,1,1493401897626,TRAINING_START,40,0
1493401960182,1,1493401960139,TRAINING_END,40,0
1493401960223,1,1493401960140,BREAK_START,41,0
1493401990184,1,1493401990141,BREAK_END,41,0
1493401990225,1,1493401990142,TRAINING_START,42,1
1493402052696,1,1493402052653,TRAINING_END,42,1
1493402052737,1,1493402052655,TASK_END,43,1
1493402052778,1,1493402052656,CONNECTION_CLOSE,44,1
