trial,time_start,condition,time_end,correct_clicks,incorrect_clicks
0,1494001024524,1,1494001084529,6,20
1,1494001114534,0,1494001174548,30,0
2,1494001204554,1,1494001264557,6,20
3,1494001294561,0,1494001354568,30,0
4,1494001384573,1,1494001444577,11,17
5,1494001474581,0,1494001534590,34,0
6,1494001564593,1,1494001624597,9,20
7,1494001654601,1,1494001714604,7,21
8,1494001744609,0,1494001804622,34,1
9,1494001834626,0,1494001894638,32,0
10,1494001924641,1,1494001984645,11,18
11,1494002014648,0,1494002074657,34,0
12,1494002104660,1,1494002164664,12,18
13,1494002194670,0,1494002254677,34,0
14,1494002284679,1,1494002344682,11,19
15,1494002374686,1,1494002434691,14,17
16,1494002464694,0,1494002524702,35,0
17,1494002554706,1,1494002614710,12,18
18,1494002644713,0,1494002704725,36,0
19,1494002734728,0,1494002794738,37,0
