timeReceived,version,timeIssued,type,id,label
1493928941742,1,1493928941738,TASK_START,100,100
1493928941794,1,1493928941740,BASELINE_START,200,200
1493929121796,1,1493929121749,BASELINE_END,200,200
1493929121837,1,1493929121751,BREAK_START,0,1
1493929151796,1,1493929151753,BREAK_END,0,1
1493929151838,1,1493929151756,TRAINING_START,0,1
1493929211805,1,1493929211761,TRAINING_END,0,1
1493929211846,1,1493929211762,BREAK_START,1,1
1493929241805,1,1493929241762,BREAK_END,1,1
1493929241846,1,1493929241765,TRAINING_START,1,1
1493929301810,1,1493929301768,TRAINING_END,1,1
1493929301851,1,1493929301769,BREAK_START,2,0
1493929331813,1,1493929331770,BREAK_END,2,0
1493929331855,1,1493929331773,TRAINING_START,2,0
1493929391824,1,1493929391782,TRAINING_END,2,0
1493929391865,1,1493929391782,BREAK_START,3,0
1493929421827,1,1493929421783,BREAK_END,3,0
1493929421869,1,1493929421786,TRAINING_START,3,0
1493929481840,1,1493929481798,TRAINING_END,3,0
1493929481881,1,1493929481799,BREAK_START,4,1
1493929511841,1,1493929511799,BREAK_END,4,1
1493929511882,1,1493929511801,TRAINING_START,4,1
1493929571847,1,1493929571805,TRAINING_END,4,1
1493929571889,1,1493929571805,BREAK_START,5,1
1493929601848,1,1493929601806,BREAK_END,5,1
1493929601889,1,1493929601808,TRAINING_START,5,1
1493929661853,1,1493929661811,TRAINING_END,5,1
1493929661894,1,1493929661811,BREAK_START,6,0
1493929691857,1,1493929691812,BREAK_END,6,0
1493929691898,1,1493929691814,TRAINING_START,6,0
1493929751868,1,1493929751824,TRAINING_END,6,0
1493929751909,1,1493929751825,BREAK_START,7,1
1493929781868,1,1493929781825,BREAK_END,7,1
1493929781909,1,1493929781828,TRAINING_START,7,1
1493929841874,1,1493929841831,TRAINING_END,7,1
1493929841915,1,1493929841831,BREAK_START,8,0
1493929871875,1,1493929871832,BREAK_END,8,0
1493929871917,1,1493929871835,TRAINING_START,8,0
1493929931886,1,1493929931844,TRAINING_END,8,0
1493929931927,1,1493929931845,BREAK_START,9,0
1493929961889,1,1493929961845,BREAK_END,9,0
1493929961930,1,1493929961849,TRAINING_START,9,0
1493930021899,1,1493930021858,TRAINING_END,9,0
1493930021940,1,1493930021858,BREAK_START,10,1
1493930051901,1,1493930051858,BREAK_END,10,1
1493930051942,1,1493930051861,TRAINING_START,10,1
1493930111910,1,1493930111867,TRAINING_END,10,1
1493930111951,1,1493930111868,BREAK_START,11,1
1493930141911,1,1493930141868,BREAK_END,11,1
1493930141952,1,1493930141870,TRAINING_START,11,1
1493930201916,1,1493930201873,TRAINING_END,11,1
1493930201957,1,1493930201874,BREAK_START,12,0
1493930231918,1,1493930231875,BREAK_END,12,0
1493930231959,1,1493930231877,TRAINING_START,12,0
1493930291930,1,1493930291888,TRAINING_END,12,0
1493930291971,1,1493930291889,BREAK_START,13,0
1493930321932,1,1493930321889,BREAK_END,13,0
1493930321973,1,1493930321892,TRAINING_START,13,0
1493930381944,1,1493930381902,TRAINING_END,13,0
1493930381986,1,1493930381902,BREAK_START,14,0
1493930411949,1,1493930411906,BREAK_END,14,0
1493930411990,1,1493930411908,TRAINING_START,14,0
1493930471958,1,1493930471916,TRAINING_END,14,0
1493930471999,1,1493930471917,BREAK_START,15,0
1493930501960,1,1493930501917,BREAK_END,15,0
1493930502001,1,1493930501919,TRAINING_START,15,0
1493930561972,1,1493930561930,TRAINING_END,15,0
1493930562013,1,1493930561930,BREAK_START,16,1
1493930591974,1,1493930591931,BREAK_END,16,1
1493930592015,1,1493930591933,TRAINING_START,16,1
1493930651978,1,1493930651937,TRAINING_END,16,1
1493930652019,1,1493930651937,BREAK_START,17,1
1493930681980,1,1493930681938,BREAK_END,17,1
1493930682021,1,1493930681940,TRAINING_START,17,1
1493930741986,1,1493930741943,TRAINING_END,17,1
1493930742027,1,1493930741943,BREAK_START,18,1
1493930771987,1,1493930771944,BREAK_END,18,1
1493930772028,1,1493930771947,TRAINING_START,18,1
1493930831992,1,1493930831950,TRAINING_END,18,1
1493930832033,1,1493930831951,BREAK_START,19,0
1493930861994,1,1493930861951,BREAK_END,19,0
1493930862035,1,1493930861953,TRAINING_START,19,0
1493930922005,1,1493930921962,TRAINING_END,19,0
1493930922046,1,1493930921962,TASK_END,100,100
1493930922087,1,1493930921963,CONNECTION_CLOSE,300,300
